explanation,classified_category
Österreichische Städtebund handed over 2 fully equipped fire engines to the local fire brigade.,Uncategorised
The Austrian Foreign Ministry has announced EUR 8 million was allocated this week from the Foreign Ministry's Foreign Disaster Fund (FDF).,Financial & Economic Aid
"The Austrian Government announced an extension to the EU Advisory Mission project to project to strengthen the capacities of Ukrainian law enforcement agencies in the liberated territories with an additional support of EUR 170,000. This funding will further enhance the capabilities of key agencies, including the National Police of Ukraine (NPU), State Bureau of Investigation (SBI), Economic Security Bureau (ESBU), State Financial Monitoring Service (SMFSU), Asset Recovery and Management Agency (ARMA), National Anti-Corruption Bureau (NABU), and the Security Service of Ukraine (SSU), enabling them to investigate and prosecute financial and corruption-related crimes more efficiently, using EU best practices.",Artillery & Heavy Weapons
"On March 13, Austria announced that it has sent a package consisting of protective helmets, ballistic vests and bandages to Ukraine. The government besides announced to send 200,000 liters of diesel. On May 5, the Ministry of Defence reported the total amounts that were sent in March (""Source of Aid 2"") and puts a value of 35 EUR on each helmet. ""Source of Aid 2"" also mentions that Austria still behaves neutrally, which results in the provision of only non-lethal equipment as reporter here and abstention on the European Peace Facility (EPF) decision. Source of Aid 1 details that the protective helmets come from the stocks of the Austrian Armed Forces, the protective vests from the stocks of the Ministry of the Interior.",Artillery & Heavy Weapons
"On March 13, Austria announced that it has sent a package consisting of protective helmets, ballistic vests and bandages to Ukraine. The government besides announced to send 200,000 liters of diesel. On May 5, the Ministry of Defence reported the total amounts that were sent in March (""Source of Aid 2"") and puts a value of 35 EUR on each helmet. ""Source of Aid 2"" also mentions that Austria still behaves neutrally, which results in the provision of only non-lethal equipment as reporter here and abstention on the European Peace Facility (EPF) decision. Source of Aid 1 details that the protective helmets come from the stocks of the Austrian Armed Forces, the protective vests from the stocks of the Ministry of the Interior.",Artillery & Heavy Weapons
"On March 13, Austria announced that it has sent a package consisting of protective helmets, ballistic vests and bandages to Ukraine. The government besides announced to send 200,000 liters of diesel. On May 5, the Ministry of Defence reported the total amounts that were sent in March (""Source of Aid 2"") and puts a value of 35 EUR on each helmet. ""Source of Aid 2"" also mentions that Austria still behaves neutrally, which results in the provision of only non-lethal equipment as reporter here and abstention on the European Peace Facility (EPF) decision. Source of Aid 1 details that the protective helmets come from the stocks of the Austrian Armed Forces, the protective vests from the stocks of the Ministry of the Interior.",Artillery & Heavy Weapons
"On March 13, Austria announced that it has sent a package consisting of protective helmets, ballistic vests and bandages to Ukraine. The government besides announced to send 200,000 liters of diesel. On May 5, the Ministry of Defence reported the total amounts that were sent in March (""Source of Aid 2"") and puts a value of 35 EUR on each helmet. ""Source of Aid 2"" also mentions that Austria still behaves neutrally, which results in the provision of only non-lethal equipment as reporter here and abstention on the European Peace Facility (EPF) decision. Source of Aid 1 details that the protective helmets come from the stocks of the Austrian Armed Forces, the protective vests from the stocks of the Ministry of the Interior.",Artillery & Heavy Weapons
Austria contributed with 10 million EUR to the multi-donor trust fund (MDTF) set up by the World Bank. Source 4 is the Administration Agreement between the Federal Ministry of Finance of Austria and the International Bank for Reconstruction and Development (World Bank) for this allocation. The agreement was signed on April 5 2022 for the financing of 10 million EUR to the Multi-Donor Trust Fund for Co-financing of the Ukraine Economic Recovery Development Policy Program.,Financial & Economic Aid
Austria donates 20 million euros to the Ukraine Recovery Trust Fund (URTF).,Financial & Economic Aid
"As part of the COP27, the world climate conference in the Egyptian seaside resort of Sharm el-Sheik, Austrian Finance Minister Magnus Brunner announced a further 10 EUR million in support for the European Bank for Reconstruction and Development (EBRD) (Source of aid 2.) In March, it was officially on the EBRD page (Source of aid 1), and therefore we include it in our dataset.",Artillery & Heavy Weapons
